判決字號,處罰方式,侮辱字詞,加重事由-累犯,減輕事由,行為人是否於緩刑中或假釋中再犯,行為人有無「公然侮辱」之前案紀錄,行為人有「公然侮辱」外之任何前案紀錄？,是否坦承,犯後態度
112年度簡字第3627號,新臺幣5000元,「吃你的雞掰」、「吃你的懶覺」等等,無,有,否,有,無,否認,未敘明
112年度簡字第4021號,新臺幣8000元,「婊子」,有,無,否,無,有,否認,未敘明
113年度簡字第11號,新臺幣5000元,「幹你娘」,無,無,否,無,有,未敘明,未敘明
112年度簡字第3591號,新臺幣8000元,「瘋女人」、「瘋基巴」、「老處女」、「沒嫁人的變態老處女」,無,無,否,無,無,否認,不佳
112年度簡字第4626號,拘役20日,吐口水,無,無,否,無,有,未敘明,未敘明
112年度簡字第3877號,新臺幣3000元,「幹你娘機掰」,無,無,否,無,有,坦承,未敘明
112年度簡字第3889號,新臺幣3000元,「神經病」、「有病」,無,無,否,有,無,否認,未敘明
112年度簡字第3490號,新臺幣2000元,「肖查某」,無,無,否,無,無,否認,尚可
112年度簡字第3360號,新臺幣4000元,「糞都不如」、「去賣屁股吧，自閉兒」、「剩你懶叫」、「文你涼」、「腦殘」,無,有,否,無,有,坦承,尚可
112年度簡字第4141號,新臺幣4000元,「幹你娘」,無,無,否,無,有,否認,不佳
112年度簡字第3522號,新臺幣4000元,「幹你娘」,無,無,否,無,有,否認,不佳
112年度易字第315號,新臺幣6000元,「臭卒仔」,無,無,否,無,無,否認,不佳
112年度簡上字第225號,新臺幣4000元,比中指、「搖擺」、「相幹」、「給她騙」、「妳老公讀到博士娶到你這種老婆」、「雞掰」、「夭壽」、「你這個漂亮老婆妖豔到這種程度」,無,無,否,無,有,否認,未敘明
112年度簡字第4113號,有期徒刑4月,吐口水(痰),無,無,否,無,有,否認,未敘明
112年度簡字第4113號,有期徒刑3月,吐口水(痰),無,無,否,無,有,否認,未敘明
112年度簡字第3521號,新臺幣3000元,「你刺龍刺鳳是做流氓」,無,無,否,無,無,否認,未敘明
112年度審易字第1075號,新臺幣6000元,「垃圾」,無,無,否,無,無,否認,不佳
112年度簡字第2596號,新台幣6000元,「幹你娘機掰」、「幹你祖媽」,無,無,否,無,無,坦承,未敘明
